,country,cluster_id,gx_entry_date
234,country_41,ID_3264,2014-08-01
237,country_22,ID_1865,2020-03-01
244,country_42,ID_3010,2021-03-01
247,country_19,ID_1719,2021-03-01
248,country_17,ID_1515,2022-02-01
249,country_40,ID_2868,2021-01-01
252,country_20,ID_1627,2022-01-01
253,country_29,ID_2313,2021-11-01
255,country_9,ID_754,2021-07-01
256,country_35,ID_1187,2021-12-01
260,country_15,ID_3236,2017-01-01
262,country_21,ID_1756,2021-11-01
263,country_0,ID_9,2022-01-01
265,country_13,ID_1235,2020-03-01
266,country_8,ID_699,2022-03-01
267,country_24,ID_2016,2022-03-01
268,country_41,ID_3262,2016-04-01
271,country_41,ID_3099,2020-08-01
272,country_31,ID_2469,2019-09-01
278,country_0,ID_19,2022-02-01
279,country_7,ID_642,2021-12-01
283,country_2,ID_109,2021-12-01
284,country_36,ID_2549,2020-12-01
285,country_34,ID_3180,2021-08-01
290,country_16,ID_1445,2021-10-01
294,country_30,ID_3257,2016-12-01
295,country_2,ID_110,2020-02-01
297,country_15,ID_950,2022-03-01
298,country_30,ID_2393,2020-09-01
299,country_16,ID_1395,2021-11-01
300,country_30,ID_2387,2022-03-01
301,country_8,ID_737,2021-12-01
302,country_28,ID_2184,2021-08-01
303,country_35,ID_3239,2017-04-01
304,country_39,ID_2826,2020-10-01
308,country_14,ID_3242,2018-05-01
309,country_22,ID_3252,2016-02-01
310,country_18,ID_1562,2020-10-01
313,country_27,ID_2256,2022-03-01
315,country_41,ID_3118,2019-07-01
321,country_26,ID_2058,2019-12-01
322,country_41,ID_3136,2019-07-01
324,country_14,ID_1338,2020-10-01
327,country_18,ID_3245,2017-02-01
330,country_4,ID_335,2022-02-01
333,country_29,ID_2356,2019-08-01
336,country_6,ID_478,2019-12-01
338,country_37,ID_560,2020-05-01
340,country_22,ID_1878,2021-09-01
341,country_19,ID_1709,2019-08-01
342,country_27,ID_2274,2021-11-01
344,country_33,ID_2694,2021-10-01
346,country_40,ID_2886,2021-12-01
348,country_15,ID_891,2020-07-01
350,country_14,ID_1350,2022-03-01
351,country_24,ID_1974,2019-08-01
357,country_15,ID_894,2019-09-01
358,country_6,ID_472,2021-12-01
361,country_22,ID_3249,2015-07-01
363,country_40,ID_2872,2019-12-01
364,country_10,ID_821,2022-03-01
367,country_12,ID_1073,2022-04-01
368,country_37,ID_566,2021-07-01
370,country_36,ID_2592,2019-06-01
374,country_22,ID_3250,2016-04-01
375,country_24,ID_3256,2017-03-01
377,country_34,ID_3218,2022-02-01
378,country_41,ID_3083,2021-10-01
380,country_33,ID_2746,2021-04-01
384,country_41,ID_3266,2015-03-01
386,country_17,ID_1467,2021-07-01
387,country_33,ID_2714,2022-04-01
389,country_36,ID_2591,2021-05-01
392,country_33,ID_2698,2021-09-01
394,country_36,ID_2558,2021-11-01
395,country_13,ID_1217,2022-01-01
399,country_13,ID_1234,2022-01-01
401,country_8,ID_739,2021-03-01
408,country_19,ID_1702,2021-12-01
409,country_2,ID_98,2021-01-01
410,country_5,ID_415,2022-04-01
412,country_8,ID_717,2021-04-01
416,country_19,ID_1700,2021-05-01
417,country_14,ID_3241,2017-05-01
418,country_29,ID_2330,2019-10-01
423,country_19,ID_1691,2022-01-01
425,country_8,ID_703,2021-03-01
428,country_26,ID_2065,2022-02-01
430,country_26,ID_2068,2021-12-01
431,country_21,ID_1778,2021-07-01
432,country_6,ID_247,2016-07-01
438,country_38,ID_2979,2021-09-01
440,country_28,ID_2223,2022-02-01
442,country_28,ID_2201,2021-12-01
443,country_22,ID_1871,2019-03-01
444,country_21,ID_3246,2017-03-01
445,country_24,ID_1984,2021-11-01
446,country_1,ID_227,2021-10-01
447,country_11,ID_1026,2020-04-01
448,country_9,ID_749,2021-05-01
449,country_31,ID_2477,2019-05-01
450,country_12,ID_1100,2021-07-01
456,country_41,ID_3134,2021-04-01
459,country_13,ID_1226,2019-07-01
461,country_41,ID_3267,2015-08-01
463,country_11,ID_1008,2022-04-01
464,country_27,ID_2260,2021-07-01
473,country_21,ID_3247,2016-05-01
474,country_6,ID_518,2020-10-01
477,country_27,ID_2257,2021-08-01
486,country_22,ID_3248,2014-07-01
487,country_19,ID_1726,2021-05-01
492,country_22,ID_1831,2022-02-01
493,country_2,ID_108,2022-04-01
495,country_22,ID_3251,2014-03-01
500,country_1,ID_190,2022-04-01
502,country_4,ID_315,2022-02-01
503,country_20,ID_1642,2020-01-01
504,country_21,ID_1727,2021-01-01
505,country_41,ID_3261,2014-08-01
507,country_5,ID_402,2021-02-01
510,country_19,ID_1716,2021-11-01
511,country_37,ID_567,2020-08-01
513,country_4,ID_314,2022-01-01
516,country_36,ID_3258,2016-07-01
518,country_22,ID_1874,2021-02-01
519,country_36,ID_2594,2019-11-01
523,country_27,ID_2271,2022-04-01
524,country_24,ID_1976,2020-02-01
525,country_32,ID_2623,2021-12-01
526,country_28,ID_2187,2020-06-01
529,country_19,ID_1717,2022-01-01
530,country_28,ID_2189,2020-05-01
531,country_42,ID_3025,2021-04-01
532,country_29,ID_2320,2021-04-01
534,country_24,ID_1968,2021-12-01
535,country_36,ID_2590,2019-08-01
