,cluster_id,launch_date
80,ID_1133,1996-06-01
81,ID_1135,2007-12-01
82,ID_1136,2009-01-01
83,ID_1137,2010-12-01
84,ID_1138,2010-12-01
85,ID_1139,2011-11-01
86,ID_114,2012-11-01
87,ID_1140,2010-08-01
88,ID_1141,2008-05-01
89,ID_1142,2009-06-01
90,ID_1143,2011-01-01
91,ID_1144,2015-09-01
92,ID_1145,2013-07-01
93,ID_1146,2013-12-01
94,ID_1147,2015-01-01
95,ID_1149,2012-12-01
96,ID_115,2014-01-01
97,ID_1150,2016-05-01
98,ID_1151,2016-09-01
99,ID_1153,2006-02-01
100,ID_1157,2009-04-01
101,ID_1158,2011-08-01
102,ID_1159,2015-06-01
103,ID_116,2014-01-01
104,ID_1178,2008-10-01
105,ID_1179,2008-03-01
106,ID_118,2011-11-01
107,ID_1180,2008-03-01
108,ID_1181,2016-07-01
109,ID_1182,2008-05-01
110,ID_1183,2010-12-01
111,ID_1184,2013-04-01
112,ID_1185,2014-01-01
113,ID_1186,2008-05-01
114,ID_1187,2007-01-01
115,ID_1188,2007-07-01
116,ID_1189,2014-04-01
117,ID_119,2016-01-01
118,ID_12,2001-09-01
119,ID_120,2015-08-01
120,ID_121,2006-03-01
121,ID_1216,1998-11-01
122,ID_1217,2002-01-01
123,ID_1219,2004-06-01
124,ID_1222,2005-12-01
125,ID_1225,2004-07-01
126,ID_1226,2007-05-01
127,ID_1227,2008-01-01
128,ID_1228,1996-04-01
129,ID_1230,2008-04-01
130,ID_1231,2008-06-01
131,ID_1232,2010-06-01
132,ID_1233,2010-02-01
133,ID_1234,2011-03-01
134,ID_1235,2010-02-01
135,ID_1237,2013-08-01
136,ID_1238,2015-02-01
137,ID_1239,2013-01-01
138,ID_124,2015-09-01
139,ID_1240,2014-03-01
140,ID_1241,2014-01-01
141,ID_1243,2012-10-01
142,ID_1244,2016-01-01
143,ID_1245,2015-12-01
144,ID_1246,2006-04-01
145,ID_1248,2006-10-01
146,ID_1249,2017-04-01
147,ID_1251,2015-09-01
148,ID_1253,2008-02-01
149,ID_1254,2010-05-01
150,ID_1255,2015-09-01
151,ID_126,2015-05-01
152,ID_1269,2017-01-01
153,ID_128,2008-07-01
154,ID_1287,2001-07-01
155,ID_129,2010-05-01
156,ID_1290,1996-12-01
157,ID_1294,1976-11-01
158,ID_1295,1998-11-01
159,ID_1296,2003-07-01
160,ID_1298,2005-03-01
161,ID_130,2015-05-01
162,ID_1300,1996-02-01
163,ID_1302,2006-05-01
164,ID_1303,1995-09-01
165,ID_1304,2008-11-29
166,ID_1305,2004-06-01
167,ID_1306,2005-08-01
168,ID_1307,2007-08-01
169,ID_1308,2009-05-01
170,ID_1310,2015-04-01
171,ID_1311,2007-12-01
172,ID_1312,2009-11-01
173,ID_1313,2010-06-01
174,ID_1314,2010-02-01
175,ID_1315,2012-02-01
176,ID_1316,2010-08-01
177,ID_1317,1998-10-01
178,ID_1318,2009-03-01
179,ID_1319,2011-02-01
180,ID_1320,2013-11-01
181,ID_1321,2014-12-01
182,ID_1322,2014-01-01
183,ID_1324,2012-09-01
184,ID_1325,2016-01-01
185,ID_1326,2014-10-01
186,ID_1327,2006-07-01
187,ID_1329,2016-11-01
188,ID_1331,2015-05-01
189,ID_1333,2008-07-01
190,ID_1334,2013-11-01
191,ID_1335,2015-05-01
192,ID_1344,2009-02-01
193,ID_1346,2015-06-01
194,ID_1349,2016-07-01
195,ID_1350,2006-09-01
196,ID_1351,2007-06-01
197,ID_1369,2009-06-29
198,ID_1373,1997-09-01
199,ID_1375,1999-07-01
200,ID_1376,2009-02-28
201,ID_1378,2007-07-01
202,ID_1379,2002-05-01
203,ID_1380,1999-05-01
204,ID_1381,2006-07-01
205,ID_1386,2001-09-01
206,ID_1387,2004-11-01
207,ID_1388,2007-03-01
208,ID_1389,2008-09-01
209,ID_1392,2008-02-01
210,ID_1393,2008-05-01
211,ID_1394,2010-06-01
212,ID_1395,2010-05-01
213,ID_1397,2011-03-01
214,ID_1398,2010-02-01
215,ID_1399,1999-07-01
216,ID_1400,2012-01-01
217,ID_1401,2015-10-01
218,ID_1402,2014-03-01
219,ID_1403,2014-05-01
220,ID_1406,2014-03-01
221,ID_1407,2016-02-01
222,ID_1408,2008-12-29
223,ID_1409,2016-01-01
224,ID_1411,2016-06-01
225,ID_1413,2015-06-01
226,ID_1415,2008-10-01
227,ID_1416,2011-01-01
228,ID_1417,2015-06-01
229,ID_142,2017-01-01
230,ID_1438,2008-07-01
231,ID_1439,2007-03-01
232,ID_144,2006-08-01
233,ID_1440,2007-07-01
234,ID_1441,2014-07-01
235,ID_1442,2014-08-01
236,ID_1443,2008-03-01
237,ID_1445,2007-06-01
238,ID_1446,2007-07-01
239,ID_1447,2006-07-01
240,ID_1453,2009-04-29
241,ID_1454,2008-11-29
242,ID_1455,2008-09-29
243,ID_1457,1997-03-01
244,ID_1458,1998-07-01
245,ID_1459,1999-09-01
246,ID_1463,1999-03-01
247,ID_1464,2002-03-01
248,ID_1465,1999-04-01
249,ID_1466,2008-09-29
250,ID_1467,2008-12-29
251,ID_1469,2006-11-01
252,ID_1470,2008-10-29
253,ID_1471,1999-07-01
254,ID_1472,2006-07-01
255,ID_1473,2008-02-01
256,ID_1474,2009-12-01
257,ID_1476,2008-06-01
258,ID_1477,2010-03-01
259,ID_1478,2011-10-01
260,ID_1479,2010-01-01
261,ID_1480,2012-12-01
262,ID_1481,2010-11-01
263,ID_1482,1999-02-01
264,ID_1483,2011-06-01
265,ID_1484,2015-07-01
266,ID_1485,2009-06-29
267,ID_1486,2008-08-29
268,ID_1487,2012-12-01
269,ID_1491,2009-03-29
270,ID_1492,2014-07-01
271,ID_1495,2007-11-01
272,ID_1496,2015-11-01
273,ID_1498,2015-10-01
274,ID_1500,2008-02-01
275,ID_1501,2011-08-01
276,ID_1502,2015-07-01
277,ID_1515,2006-11-01
278,ID_1534,2000-03-01
279,ID_1539,1999-02-01
280,ID_1543,1998-10-01
281,ID_1544,2001-10-01
282,ID_1545,1999-09-01
283,ID_1546,2005-05-01
284,ID_1549,2006-03-01
285,ID_1552,2003-05-01
286,ID_1553,2005-02-01
287,ID_1554,2007-12-01
288,ID_1555,2008-12-01
289,ID_1558,2008-05-01
290,ID_1559,2009-02-01
291,ID_1560,2010-11-01
292,ID_1561,2007-11-01
293,ID_1562,2010-05-01
294,ID_1563,2011-05-01
295,ID_1564,1999-02-01
296,ID_1565,2010-03-01
297,ID_1566,2016-05-01
298,ID_1567,2008-10-29
299,ID_1568,2014-03-01
300,ID_1569,2014-01-01
301,ID_1571,2013-01-01
302,ID_1574,2006-06-01
303,ID_1576,2015-12-01
304,ID_1578,2015-05-01
305,ID_1580,2008-09-01
306,ID_1581,2010-10-01
307,ID_1582,2015-05-01
308,ID_1597,2006-08-01
309,ID_16,1998-11-01
310,ID_1615,2008-08-29
311,ID_1616,2000-05-01
312,ID_162,2008-10-29
313,ID_1620,1996-12-01
314,ID_1621,2000-02-01
315,ID_1622,1999-04-01
316,ID_1624,1994-03-01
317,ID_1626,2001-12-01
318,ID_1627,2001-09-01
319,ID_1629,2004-07-01
320,ID_163,2009-03-29
321,ID_1634,2007-06-01
322,ID_1635,2009-09-01
323,ID_1637,2008-02-01
324,ID_1638,2009-03-01
325,ID_1639,2010-03-01
326,ID_1640,2009-12-01
327,ID_1641,2012-06-01
328,ID_1642,2010-03-01
329,ID_1644,2013-02-01
330,ID_1645,2013-08-01
331,ID_1646,2014-01-01
332,ID_1648,2016-03-01
333,ID_1653,2008-10-01
334,ID_1654,2010-10-01
335,ID_1655,2015-06-01
336,ID_166,2008-06-01
337,ID_1666,2016-01-01
338,ID_1667,2006-09-01
339,ID_1668,2006-10-01
340,ID_1669,2014-06-01
341,ID_167,1998-01-01
342,ID_1670,2005-12-01
343,ID_168,2008-12-01
344,ID_17,2004-11-01
345,ID_170,1993-07-01
346,ID_1716,2016-07-01
347,ID_1717,2016-07-01
348,ID_1718,2016-07-01
349,ID_1720,2016-11-01
350,ID_1721,2015-12-01
351,ID_1722,2014-12-01
352,ID_1723,2015-07-01
353,ID_1724,2016-05-01
354,ID_1725,2017-02-01
355,ID_173,1999-04-01
356,ID_1736,1975-04-01
357,ID_1737,1999-02-01
358,ID_1738,2001-08-01
359,ID_1739,1998-12-01
360,ID_174,2001-03-01
361,ID_1740,2005-06-01
362,ID_1743,2007-02-01
363,ID_1747,2000-06-01
364,ID_1748,2005-09-01
365,ID_1749,2008-03-01
366,ID_175,2000-07-01
367,ID_1750,1995-08-01
368,ID_1752,2008-08-01
369,ID_1753,2008-10-01
370,ID_1754,2010-08-01
371,ID_1755,2007-03-01
372,ID_1756,2010-10-01
373,ID_1757,2011-02-01
374,ID_1759,2009-08-01
375,ID_176,2003-04-01
376,ID_1760,2011-05-01
377,ID_1761,2015-12-01
378,ID_1762,2013-04-01
379,ID_1763,2014-07-01
380,ID_1764,2014-01-01
381,ID_1766,2016-08-01
382,ID_1768,2016-11-01
383,ID_1769,2016-04-01
384,ID_1771,2006-11-01
385,ID_1774,2007-03-01
386,ID_1777,2009-10-01
387,ID_1778,2010-10-01
388,ID_1779,2015-08-01
389,ID_1782,1993-01-01
390,ID_1783,2010-07-01
391,ID_1784,1986-02-01
392,ID_1785,2003-01-01
393,ID_1786,2010-08-01
394,ID_1789,2009-05-01
395,ID_1790,2007-01-01
396,ID_1791,2016-05-01
397,ID_1792,2002-03-01
398,ID_1794,2017-04-01
399,ID_1795,2017-04-01
400,ID_1799,2011-02-01
401,ID_18,2008-12-01
402,ID_180,2000-04-01
403,ID_1800,2013-04-01
404,ID_1801,2014-06-01
405,ID_1802,2007-07-01
406,ID_1803,2015-04-01
407,ID_181,2005-06-01
408,ID_182,2008-12-01
409,ID_1823,2001-03-01
410,ID_1824,2007-07-01
411,ID_1825,2006-01-01
412,ID_1826,2009-07-01
413,ID_1827,2009-07-01
414,ID_183,2010-09-01
415,ID_1830,2001-12-01
416,ID_1831,2002-03-01
417,ID_1832,2004-09-01
418,ID_1837,2007-07-01
419,ID_1838,2010-05-01
420,ID_1839,2009-12-01
421,ID_184,1996-02-01
422,ID_1840,2014-12-01
423,ID_1841,2009-02-01
424,ID_1842,2015-09-01
425,ID_1843,2011-05-01
426,ID_1844,2010-06-01
427,ID_1846,2011-07-01
428,ID_1847,2011-11-01
429,ID_1848,2012-01-01
430,ID_1849,2013-09-01
431,ID_1850,2014-08-01
432,ID_1853,2016-02-01
433,ID_1855,2016-05-01
434,ID_1857,2016-05-01
435,ID_1859,2009-02-01
436,ID_186,2008-07-01
437,ID_1860,2012-08-01
438,ID_1862,2016-01-01
439,ID_187,2010-12-01
440,ID_1874,2011-03-01
441,ID_1875,2011-06-01
442,ID_1876,2014-10-01
443,ID_1877,2008-03-01
444,ID_1878,2008-10-01
445,ID_1879,2009-07-01
446,ID_188,2011-03-01
447,ID_189,2009-08-01
448,ID_1898,1998-05-01
449,ID_1899,1998-03-01
450,ID_19,2006-12-01
451,ID_190,2011-03-01
452,ID_1900,2000-05-01
453,ID_1903,2000-07-01
454,ID_1904,2002-11-01
455,ID_1905,1998-10-01
456,ID_1906,2004-12-01
457,ID_191,2010-09-01
458,ID_1910,2003-04-01
459,ID_1911,2008-02-01
460,ID_1912,2008-06-01
461,ID_1913,2009-03-01
462,ID_1914,1997-11-01
463,ID_1916,2009-01-01
464,ID_1917,2009-07-01
465,ID_1918,2012-02-01
466,ID_1919,2009-10-01
467,ID_192,2008-07-01
468,ID_1920,2013-01-01
469,ID_1921,2010-10-01
470,ID_1922,1998-08-01
471,ID_1923,2014-03-01
472,ID_1924,2015-03-01
473,ID_1925,2013-06-01
474,ID_1927,2015-11-01
475,ID_1928,2016-03-01
476,ID_193,2015-04-01
477,ID_1930,2007-06-01
478,ID_1931,2011-01-01
479,ID_1932,2015-12-01
480,ID_194,2013-09-01
481,ID_1946,2016-03-01
482,ID_1947,2007-06-01
483,ID_1949,2007-02-01
484,ID_195,2014-09-01
485,ID_1950,2006-09-01
486,ID_196,2013-09-01
487,ID_1964,1996-09-01
488,ID_1966,1976-12-01
489,ID_1968,2002-02-01
490,ID_1970,2004-05-01
491,ID_1975,2004-03-01
492,ID_1976,2007-01-01
493,ID_1977,2007-09-01
494,ID_1979,2008-02-01
495,ID_1980,2007-12-01
496,ID_1981,2009-11-01
497,ID_1982,2007-02-01
498,ID_1983,2009-09-01
499,ID_1984,2011-02-01
500,ID_1985,2009-11-01
501,ID_1987,2010-02-01
502,ID_1988,2012-04-01
503,ID_1989,2011-07-01
504,ID_199,2016-02-01
505,ID_1990,2014-02-01
506,ID_1993,2015-10-01
507,ID_1994,2015-07-01
508,ID_1996,2006-10-01
509,ID_1999,2008-03-01
510,ID_200,2008-09-29
511,ID_2000,2010-01-01
512,ID_2001,2015-06-01
513,ID_2014,2008-12-29
514,ID_2015,1996-07-01
515,ID_2016,2006-04-01
516,ID_2018,2013-12-01
517,ID_2019,2005-11-01
518,ID_202,2015-07-01
519,ID_2037,2006-06-01
520,ID_204,2015-07-01
521,ID_2041,1997-12-01
522,ID_2042,1998-01-01
523,ID_2043,1998-11-01
524,ID_2046,1994-02-01
525,ID_2048,2001-11-01
526,ID_2049,1999-11-01
527,ID_2050,2004-10-01
528,ID_2054,2004-05-01
529,ID_2057,2004-04-01
530,ID_2058,2007-08-01
531,ID_2059,2007-10-01
532,ID_206,2007-07-01
533,ID_2060,1997-02-01
534,ID_2062,2007-12-01
535,ID_2063,2008-06-01
536,ID_2064,2009-12-01
537,ID_2065,2006-10-01
538,ID_2066,2009-05-01
539,ID_2067,2010-12-01
540,ID_2068,2010-02-01
541,ID_2069,1999-12-01
542,ID_207,2010-12-01
543,ID_2070,2009-11-01
544,ID_2071,2014-12-01
545,ID_2072,2012-10-01
546,ID_2073,2014-01-01
547,ID_2074,2014-01-01
548,ID_2076,2012-02-01
549,ID_2077,2016-01-01
550,ID_2078,2015-08-01
551,ID_2079,2015-07-01
552,ID_208,2015-07-01
553,ID_2080,2004-10-01
554,ID_2083,2015-11-01
555,ID_2085,2015-09-01
556,ID_2087,2008-12-01
557,ID_2088,2010-10-01
558,ID_2089,2015-09-01
559,ID_21,2012-01-01
560,ID_2104,2017-01-01
561,ID_2105,2007-02-01
562,ID_2122,2006-04-01
563,ID_2128,1999-02-01
564,ID_2129,2001-11-01
565,ID_213,2013-01-01
566,ID_2130,1997-11-01
567,ID_2131,2009-03-29
568,ID_2132,2009-03-01
569,ID_2133,2008-09-29
570,ID_2134,1999-11-01
571,ID_2135,2014-06-01
572,ID_2136,2010-03-01
573,ID_2138,2014-11-01
574,ID_2139,2006-04-01
575,ID_214,2002-08-01
576,ID_2140,2009-03-01
577,ID_2141,2014-11-01
578,ID_2143,2014-11-01
579,ID_2144,2015-11-01
580,ID_2145,2014-09-01
581,ID_2148,2016-01-01
582,ID_215,2017-04-01
583,ID_2150,2015-07-01
584,ID_2152,2007-12-01
585,ID_2153,2012-02-01
586,ID_2154,2015-07-01
587,ID_216,2017-04-01
588,ID_2162,2006-06-01
589,ID_217,2017-04-01
590,ID_2178,1998-12-01
591,ID_218,2001-01-01
592,ID_2180,1997-01-01
593,ID_2181,1998-02-01
594,ID_2182,1999-12-01
595,ID_2183,2008-12-29
596,ID_2185,1989-06-01
597,ID_2186,2000-02-01
598,ID_2187,2002-08-01
599,ID_2188,2005-05-01
600,ID_219,2010-07-01
601,ID_2190,2007-10-01
602,ID_2191,2008-10-29
603,ID_2192,2010-09-01
604,ID_2193,2006-12-01
605,ID_2194,2007-11-01
606,ID_2195,2008-07-01
607,ID_2196,2008-04-01
608,ID_2197,2010-03-01
609,ID_2198,2007-07-01
610,ID_2199,2010-06-01
611,ID_22,2008-06-01
612,ID_220,2006-10-01
613,ID_2200,2011-02-01
614,ID_2201,1999-05-01
615,ID_2202,2014-11-01
616,ID_2203,2013-10-01
617,ID_2205,2016-04-01
618,ID_2206,2008-03-01
619,ID_2207,2011-08-01
620,ID_2208,2016-07-01
621,ID_222,2002-03-01
622,ID_2221,2016-04-01
623,ID_2223,2008-06-01
624,ID_2224,2015-01-01
625,ID_2225,2009-07-01
626,ID_2226,2006-10-01
627,ID_223,2017-04-01
628,ID_2245,2008-06-01
629,ID_2248,1998-05-01
630,ID_2249,1999-07-01
631,ID_225,2017-04-01
632,ID_2250,2003-11-01
633,ID_2255,2001-04-01
634,ID_2256,2002-10-01
635,ID_2257,2000-04-01
636,ID_2258,2005-07-01
637,ID_2259,2002-07-01
638,ID_2262,2008-12-01
639,ID_2264,2002-09-01
640,ID_2265,2007-11-01
641,ID_2266,2008-06-01
642,ID_2267,2010-06-01
643,ID_2268,2009-02-01
644,ID_2269,2010-07-01
645,ID_227,2007-03-01
646,ID_2270,2012-07-01
647,ID_2271,2008-03-01
648,ID_2272,2011-09-01
649,ID_2273,2011-06-01
650,ID_2274,2001-01-01
651,ID_2276,2017-04-01
652,ID_2277,2014-08-01
653,ID_228,2007-10-01
654,ID_2284,2006-12-01
655,ID_2287,2017-03-01
656,ID_2288,2009-02-01
657,ID_229,2003-11-01
658,ID_2292,2003-04-01
659,ID_2293,2017-01-01
660,ID_23,2011-02-01
661,ID_2304,2009-04-29
662,ID_2305,1998-03-01
663,ID_2308,2000-05-01
664,ID_2309,2009-03-29
665,ID_2311,1996-02-01
666,ID_2312,2002-01-01
667,ID_2313,2002-04-01
668,ID_2315,2004-07-01
669,ID_2321,2002-05-01
670,ID_2322,2006-04-01
671,ID_2323,2007-08-01
672,ID_2324,2008-09-01
673,ID_2326,2008-05-01
674,ID_2327,2009-11-01
675,ID_2329,2006-09-01
676,ID_2330,2009-10-01
677,ID_2331,2011-02-01
678,ID_2332,2009-09-01
679,ID_2335,2013-07-01
680,ID_2336,2013-11-01
681,ID_2337,2014-05-01
682,ID_2339,2011-10-01
683,ID_2341,2016-06-01
684,ID_2344,2016-10-01
685,ID_2346,2015-07-01
686,ID_2348,2007-10-01
687,ID_2349,2010-11-01
688,ID_2350,2014-05-01
689,ID_2360,2006-02-01
690,ID_2362,2003-01-01
691,ID_2384,2000-02-01
692,ID_2386,2000-11-01
693,ID_2387,2001-11-01
694,ID_2389,2004-11-01
695,ID_2391,2005-11-01
696,ID_2393,1999-07-01
697,ID_2394,2000-12-01
698,ID_2395,2005-02-01
699,ID_2396,2008-07-01
700,ID_2397,2008-07-01
701,ID_2399,2008-05-01
702,ID_24,2007-06-01
703,ID_2400,2008-04-01
704,ID_2401,2010-03-01
705,ID_2402,2007-02-01
706,ID_2403,2010-02-01
707,ID_2404,2011-02-01
708,ID_2405,2011-03-01
709,ID_2406,2014-01-01
710,ID_2407,2015-06-01
711,ID_2408,2013-06-01
712,ID_2409,2014-02-01
713,ID_2410,2012-11-01
714,ID_2412,2012-03-01
715,ID_2414,2016-03-01
716,ID_2415,2015-02-01
717,ID_2416,2006-01-01
718,ID_2418,2007-03-01
719,ID_2421,2008-08-01
720,ID_2422,2011-06-01
721,ID_2423,2015-06-01
722,ID_2435,2008-06-01
723,ID_2436,2007-11-01
724,ID_2438,2010-07-01
725,ID_2439,2013-08-01
726,ID_2440,2014-03-01
727,ID_2441,2008-09-01
728,ID_2442,1998-03-01
729,ID_2444,1998-11-01
730,ID_2445,2008-05-01
731,ID_2448,2013-08-01
732,ID_2467,2008-10-29
733,ID_2468,2004-08-01
734,ID_2469,1999-07-01
735,ID_2470,2009-03-29
736,ID_2471,2006-01-01
737,ID_2472,2006-06-01
738,ID_2473,2009-02-28
739,ID_2474,2012-06-01
740,ID_2475,2009-04-29
741,ID_2476,2007-02-01
742,ID_2477,2007-07-01
743,ID_2478,2013-03-01
744,ID_2479,1997-11-01
745,ID_2480,2012-12-01
746,ID_2481,2013-10-01
747,ID_2482,2013-05-01
748,ID_2483,2011-11-01
749,ID_2484,2014-01-01
750,ID_2485,2013-12-01
751,ID_2486,1999-04-01
752,ID_2488,2015-02-01
753,ID_2489,2015-11-01
754,ID_2490,2014-07-01
755,ID_2492,2015-01-01
756,ID_2494,2016-05-01
757,ID_2496,2017-03-01
758,ID_2498,2015-08-01
759,ID_25,2012-01-01
760,ID_2500,2009-02-01
761,ID_2501,2011-06-01
762,ID_2502,2015-08-01
763,ID_251,2004-01-01
764,ID_253,2008-12-29
765,ID_2532,1964-04-01
766,ID_2533,1999-09-01
767,ID_2537,1998-07-01
768,ID_2538,1965-06-01
769,ID_254,2001-12-01
770,ID_2542,2001-10-01
771,ID_2543,1998-05-01
772,ID_2544,2004-06-01
773,ID_2545,1985-06-01
774,ID_2547,2005-08-01
775,ID_2548,1985-04-01
776,ID_2549,1999-08-01
777,ID_255,2005-08-01
778,ID_2550,2003-06-01
779,ID_2551,2007-06-01
780,ID_2552,2007-09-01
781,ID_2554,2007-12-01
782,ID_2555,2007-12-01
783,ID_2556,2009-10-01
784,ID_2557,2009-05-01
785,ID_2558,2011-01-01
786,ID_2559,1998-04-01
787,ID_256,2009-02-28
788,ID_2560,2008-06-01
789,ID_2561,2009-11-01
790,ID_2562,2015-02-01
791,ID_2563,2012-05-01
792,ID_2564,2013-10-01
793,ID_2565,2014-01-01
794,ID_2567,2011-10-01
795,ID_2568,2016-01-01
796,ID_2569,2016-01-01
797,ID_257,1995-02-01
798,ID_2570,2015-06-01
799,ID_2571,2005-10-01
800,ID_2574,2015-12-01
801,ID_2576,2015-09-01
802,ID_2578,2008-06-01
803,ID_2579,2010-09-01
804,ID_2580,2015-10-01
805,ID_259,2001-03-01
806,ID_2595,2017-01-01
807,ID_2596,2006-03-01
808,ID_260,2001-12-01
809,ID_2613,1997-02-01
810,ID_2616,1998-09-01
811,ID_2617,1998-06-01
812,ID_2618,1998-10-01
813,ID_262,2004-12-01
814,ID_2622,1998-11-01
815,ID_2623,2001-08-01
816,ID_2624,1998-10-01
817,ID_2625,2003-10-01
818,ID_263,2003-03-01
819,ID_2630,2006-10-01
820,ID_2631,2008-07-01
821,ID_2632,2008-01-01
822,ID_2635,2009-02-01
823,ID_2636,2009-12-01
824,ID_2637,2009-08-01
825,ID_2638,2012-12-01
826,ID_2639,2011-02-01
827,ID_2640,1998-08-01
828,ID_2641,2013-07-01
829,ID_2642,2014-04-01
830,ID_2643,2012-06-01
831,ID_2645,2015-11-01
832,ID_2646,2014-11-01
833,ID_2648,2017-04-01
834,ID_265,2000-12-01
835,ID_2650,2016-11-01
836,ID_2652,2007-11-01
837,ID_2653,2012-02-01
838,ID_2654,2015-10-01
839,ID_2671,2015-04-01
840,ID_2672,2007-11-01
841,ID_2673,2008-06-01
842,ID_2674,2006-04-01
843,ID_268,2012-09-01
844,ID_269,2010-01-01
845,ID_2696,1991-05-01
846,ID_2697,2000-08-01
847,ID_2698,2002-06-01
848,ID_2699,2005-10-01
849,ID_27,2011-09-01
850,ID_270,2000-01-01
851,ID_2702,2005-11-01
852,ID_2704,2002-11-01
853,ID_2705,2002-10-01
854,ID_2706,2005-12-01
855,ID_2707,2009-02-01
856,ID_2710,2008-08-01
857,ID_2711,2009-01-01
858,ID_2712,2011-01-01
859,ID_2713,2009-06-01
860,ID_2714,2011-06-01
861,ID_2715,2000-01-01
862,ID_2717,2015-06-01
863,ID_2718,2013-09-01
864,ID_2719,2014-05-01
865,ID_272,2011-10-01
866,ID_2720,2014-01-01
867,ID_2722,2013-04-01
868,ID_2723,2015-11-01
869,ID_2724,2016-07-01
870,ID_2725,2016-02-01
871,ID_2726,2006-02-01
872,ID_2728,2006-12-01
873,ID_273,2011-12-01
874,ID_2730,2016-01-01
875,ID_2732,2015-08-01
876,ID_2734,2008-07-01
877,ID_2735,2010-07-01
878,ID_2736,2015-05-01
879,ID_2739,2005-08-01
880,ID_274,2002-01-01
881,ID_2740,2010-05-01
882,ID_2742,2006-12-01
883,ID_2743,2013-04-01
884,ID_2744,2002-05-01
885,ID_2745,2012-12-01
886,ID_2746,2006-08-01
887,ID_2747,2015-10-01
888,ID_2748,2003-06-01
889,ID_275,2014-03-01
890,ID_276,2015-05-01
891,ID_2768,2002-06-01
892,ID_277,2017-04-01
893,ID_2770,1998-04-01
894,ID_2771,1998-07-01
895,ID_2772,1999-09-01
896,ID_2773,2008-12-29
897,ID_2776,1998-10-01
898,ID_2777,2001-07-01
899,ID_2778,1998-08-01
900,ID_2779,2004-01-01
901,ID_278,2016-09-01
902,ID_2782,2007-01-01
903,ID_2784,2002-01-01
904,ID_2785,2004-12-01
905,ID_2786,2008-02-01
906,ID_2787,2009-11-01
907,ID_2788,2006-07-01
908,ID_2789,1996-03-01
909,ID_279,2016-08-01
910,ID_2791,2009-05-01
911,ID_2792,2009-07-01
912,ID_2793,2011-08-01
913,ID_2794,2007-10-01
914,ID_2795,2011-02-01
915,ID_2796,2012-12-01
916,ID_2797,2011-10-01
917,ID_2798,2008-08-01
918,ID_280,2016-08-01
919,ID_2800,2015-08-01
920,ID_2801,2012-06-01
921,ID_2804,2016-06-01
922,ID_2805,2016-11-01
923,ID_2806,2006-10-01
924,ID_2811,2008-08-01
925,ID_2812,2012-09-01
926,ID_2813,2015-07-01
927,ID_282,2016-02-01
928,ID_2825,2008-02-01
929,ID_2826,2009-06-01
930,ID_284,2012-01-01
931,ID_2845,1997-12-01
932,ID_2846,2009-02-28
933,ID_2848,1998-11-01
934,ID_2849,1999-05-01
935,ID_2850,2000-06-01
936,ID_2854,2000-09-01
937,ID_2855,2002-01-01
